Index,Key (Hex),Key (Dec),Name,Unknown,Type,Subtype,Size,Size (Hex)
57,0x4BF1E19C,1274143132,Unknown_4BF1E19C,YES,UInt64,,8,0x8
58,0x4C26C29B,1277608603,ObstructionData,NO,Object,,24000,0x5DC0
59,0x4DCB6EBC,1305177788,FashionBottoms,NO,Object,,42400,0xA5A0
60,0x4F35D0DD,1328926941,Money,NO,UInt32,,4,0x4
61,0x502EA6C8,1345234632,FashionGloves,NO,Object,,1600,0x640
62,0x53106AFC,1393584892,HairMake10ColorEyelash,NO,Object,,512,0x200
63,0x53FD0223,1409090083,EventWork3,NO,Object,,288000,0x46500
64,0x550EC7E1,1427032033,HairMake14DarkCircles,NO,Object,,64,0x40
65,0x580634CD,1476801741,PictureCurrentWidth,NO,UInt32,,4,0x4
66,0x58505C5E,1481661534,EventFlag,NO,Object,,32768,0x8000
67,0x5CD6F27B,1557590651,Unknown_5CD6F27B,YES,UInt32,,4,0x4
68,0x5D2A4162,1563050338,Unknown_5D2A4162,YES,UInt32,,4,0x4
